STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,185,80,39,-9,282,102,192
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,569,155,52,-4,361,183,272
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,331,100,75,16,507,319,413
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,517,0,82,36,709,477,593
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,292,0,86,38,754,535,644
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,543,0,93,46,822,594,708
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121,0,90,36,798,575,686
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,416,-9999,80,34,693,488,590
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194010,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,275,0,76,18,545,360,452
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,349,55,68,1,438,297,368
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,353,105,47,-16,347,166,256
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,148,160,36,-15,243,81,162
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,189,40,45,-3,314,143,228
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,178,265,49,0,357,173,265
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,52,-9999,88,24,645,385,515
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,214,0,89,28,714,450,582
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,312,0,95,43,809,551,680
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,411,0,94,51,833,608,720
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,206,0,90,41,789,543,666
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133,0,89,29,768,515,642
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,264,0,83,18,593,387,490
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,181,0,67,16,487,331,409
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,216,128,67,-10,365,192,278
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,213,71,47,-17,294,111,202
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,45,-17,279,100,190
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60,23,465,296,380
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,251,4,83,28,597,365,481
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194205,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,183,0,86,33,733,491,612
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,416,0,91,41,774,552,663
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,148,0,96,46,826,609,718
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,117,0,94,40,812,578,695
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194209,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,511,0,93,28,745,491,618
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194210,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,306,0,75,31,635,418,526
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,290,-9999,63,12,463,296,380
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194212,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,-21,286,141,214
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,40,-15,245,59,152
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54,-27,321,138,230
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,194303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70,57,-8,389,201,295
